2018-03-01 13:19:47.004915 UTC | [experiment_2018_03_01_13_19_44_0001] Populating workers...
2018-03-01 13:19:49.091224 UTC | [experiment_2018_03_01_13_19_44_0001] Populated
2018-03-01 13:19:51.034185 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #0 | Training started
2018-03-01 13:19:51.247636 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #0 | Training finished
2018-03-01 13:19:51.247869 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #1 | Training started
2018-03-01 13:19:51.461209 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #1 | Training finished
2018-03-01 13:19:51.461435 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #2 | Training started
2018-03-01 13:19:51.672794 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #2 | Training finished
2018-03-01 13:19:51.673017 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #3 | Training started
2018-03-01 13:19:51.888356 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #3 | Training finished
2018-03-01 13:19:51.888587 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #4 | Training started
2018-03-01 13:19:52.103536 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #4 | Training finished
2018-03-01 13:19:52.103757 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #5 | Training started
2018-03-01 13:19:52.315394 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #5 | Training finished
2018-03-01 13:19:52.315621 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #6 | Training started
2018-03-01 13:19:52.529435 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #6 | Training finished
2018-03-01 13:19:52.529673 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #7 | Training started
2018-03-01 13:19:52.746088 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #7 | Training finished
2018-03-01 13:19:52.746308 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #8 | Training started
2018-03-01 13:19:52.965529 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #8 | Training finished
2018-03-01 13:19:52.965758 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #9 | Training started
2018-03-01 13:19:53.178133 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #9 | Training finished
2018-03-01 13:19:53.178355 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #10 | Training started
2018-03-01 13:20:28.830888 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #10 | Training finished
2018-03-01 13:20:28.831093 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #10 | Collecting samples for evaluation
2018-03-01 13:20:30.774007 UTC | -----------------------  ------------
2018-03-01 13:21:08.759437 UTC | AverageY                 -0.0397172
2018-03-01 13:21:08.759570 UTC | AverageAbsY               0.0397172
2018-03-01 13:21:08.759964 UTC | AverageAbsQYDiff          3.51275e-08
2018-03-01 13:21:08.760269 UTC | AverageAction             0.997719
2018-03-01 13:21:08.760594 UTC | PolicyRegParamNorm       26.4561
2018-03-01 13:21:08.760847 UTC | QFunRegParamNorm          7.99343
2018-03-01 13:21:08.761182 UTC | AverageForwardProgress    0
2018-03-01 13:21:08.761276 UTC | MaxForwardProgress        0
2018-03-01 13:21:08.761468 UTC | MinForwardProgress        0
2018-03-01 13:21:08.761621 UTC | StdForwardProgress        0
2018-03-01 13:21:08.761687 UTC | -----------------------  ------------
2018-03-01 13:21:08.761920 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #12 | Training started
2018-03-01 13:21:45.967118 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #12 | Training finished
2018-03-01 13:21:45.967280 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #12 | Collecting samples for evaluation
2018-03-01 13:21:47.247826 UTC | -----------------------  ------------
2018-03-01 13:21:47.248098 UTC | Epoch                    12
2018-03-01 13:21:47.248177 UTC | AverageReturn             0
2018-03-01 13:21:47.248234 UTC | StdReturn                 0
2018-03-01 13:21:47.248288 UTC | MaxReturn                 0
2018-03-01 13:21:47.248354 UTC | MinReturn                 0
2018-03-01 13:21:47.248409 UTC | AverageEsReturn           0
2018-03-01 13:21:47.248464 UTC | StdEsReturn               0
2018-03-01 13:21:47.248519 UTC | MaxEsReturn               0
2018-03-01 13:21:47.248573 UTC | MinEsReturn               0
2018-03-01 13:21:47.248628 UTC | AverageDiscountedReturn   0
2018-03-01 13:21:47.248683 UTC | AverageQLoss              6.00387e-07
2018-03-01 13:21:47.248735 UTC | AveragePolicySurr         0.0393343
2018-03-01 13:21:47.248786 UTC | AverageQ                 -0.0393399
2018-03-01 13:21:47.248840 UTC | AverageAbsQ               0.0393399
2018-03-01 13:21:47.248915 UTC | AverageY                 -0.0393401
2018-03-01 13:21:47.248978 UTC | AverageAbsY               0.0393401
2018-03-01 13:21:47.249072 UTC | AverageAbsQYDiff          0.000144912
2018-03-01 13:21:47.249154 UTC | AverageAction             0.997397
2018-03-01 13:21:47.249206 UTC | PolicyRegParamNorm       26.457
2018-03-01 13:21:47.249256 UTC | QFunRegParamNorm          7.98514
2018-03-01 13:21:47.249314 UTC | AverageForwardProgress    0
2018-03-01 13:21:47.249364 UTC | MaxForwardProgress        0
2018-03-01 13:21:47.249416 UTC | MinForwardProgress        0
2018-03-01 13:21:47.249467 UTC | StdForwardProgress        0
2018-03-01 13:21:47.249518 UTC | -----------------------  ------------
2018-03-01 13:21:47.249729 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #13 | Training started
2018-03-01 13:22:23.740185 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #13 | Training finished
2018-03-01 13:22:23.740395 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #13 | Collecting samples for evaluation
2018-03-01 13:22:25.650410 UTC | -----------------------  ------------
2018-03-01 13:22:25.650681 UTC | Epoch                    13
2018-03-01 13:22:25.650784 UTC | AverageReturn             0
2018-03-01 13:22:25.650871 UTC | StdReturn                 0
2018-03-01 13:22:25.650957 UTC | MaxReturn                 0
2018-03-01 13:22:25.651054 UTC | MinReturn                 0
2018-03-01 13:22:25.651134 UTC | AverageEsReturn           0
2018-03-01 13:22:25.651215 UTC | StdEsReturn               0
2018-03-01 13:22:25.651299 UTC | MaxEsReturn               0
2018-03-01 13:22:25.651400 UTC | MinEsReturn               0
2018-03-01 13:22:25.651487 UTC | AverageDiscountedReturn   0
2018-03-01 13:22:25.651577 UTC | AverageQLoss              4.69641e-07
2018-03-01 13:22:25.651665 UTC | AveragePolicySurr         0.0390988
2018-03-01 13:22:25.651745 UTC | AverageQ                 -0.0391015
2018-03-01 13:22:25.651834 UTC | AverageAbsQ               0.0391015
2018-03-01 13:22:25.651922 UTC | AverageY                 -0.0391019
2018-03-01 13:22:25.651997 UTC | AverageAbsY               0.0391019
2018-03-01 13:22:25.652074 UTC | AverageAbsQYDiff          0.000189806
2018-03-01 13:22:25.652152 UTC | AverageAction             0.996486
2018-03-01 13:22:25.652230 UTC | PolicyRegParamNorm       26.4579
2018-03-01 13:22:25.652307 UTC | QFunRegParamNorm          7.9759
2018-03-01 13:22:25.652413 UTC | AverageForwardProgress    0
2018-03-01 13:22:25.652514 UTC | MaxForwardProgress        0
2018-03-01 13:22:25.652610 UTC | MinForwardProgress        0
2018-03-01 13:22:25.652702 UTC | StdForwardProgress        0
2018-03-01 13:22:25.652783 UTC | -----------------------  ------------
2018-03-01 13:22:25.653070 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #14 | Training started
2018-03-01 13:23:02.286253 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #14 | Training finished
2018-03-01 13:23:02.286467 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #14 | Collecting samples for evaluation
2018-03-01 13:23:04.204358 UTC | -----------------------  ------------
2018-03-01 13:23:04.204632 UTC | Epoch                    14
2018-03-01 13:23:04.204741 UTC | AverageReturn             0
2018-03-01 13:23:04.204827 UTC | StdReturn                 0
2018-03-01 13:23:04.204937 UTC | MaxReturn                 0
2018-03-01 13:23:04.205015 UTC | MinReturn                 0
2018-03-01 13:23:04.205123 UTC | AverageEsReturn           0
2018-03-01 13:23:04.205215 UTC | StdEsReturn               0
2018-03-01 13:23:04.205297 UTC | MaxEsReturn               0
2018-03-01 13:23:04.205379 UTC | MinEsReturn               0
2018-03-01 13:23:04.205463 UTC | AverageDiscountedReturn   0
2018-03-01 13:23:04.205544 UTC | AverageQLoss              2.86363e-07
2018-03-01 13:23:04.205630 UTC | AveragePolicySurr         0.0391486
2018-03-01 13:23:04.205709 UTC | AverageQ                 -0.039141
2018-03-01 13:23:04.205788 UTC | AverageAbsQ               0.039141
2018-03-01 13:23:04.205901 UTC | AverageY                 -0.0391413
2018-03-01 13:23:04.205993 UTC | AverageAbsY               0.0391413
2018-03-01 13:23:04.206075 UTC | AverageAbsQYDiff          0.000193969
2018-03-01 13:23:04.206166 UTC | AverageAction             0.99902
2018-03-01 13:23:04.206246 UTC | PolicyRegParamNorm       26.4583
2018-03-01 13:23:04.206320 UTC | QFunRegParamNorm          7.96826
2018-03-01 13:23:04.206399 UTC | AverageForwardProgress    0
2018-03-01 13:23:04.206477 UTC | MaxForwardProgress        0
2018-03-01 13:23:04.206555 UTC | MinForwardProgress        0
2018-03-01 13:23:04.206634 UTC | StdForwardProgress        0
2018-03-01 13:23:04.206725 UTC | -----------------------  ------------
2018-03-01 13:23:04.207063 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #15 | Training started
2018-03-01 13:23:40.857696 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #15 | Training finished
2018-03-01 13:23:40.857932 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #15 | Collecting samples for evaluation
2018-03-01 13:23:42.771017 UTC | -----------------------  ------------
2018-03-01 13:23:42.771288 UTC | Epoch                    15
2018-03-01 13:23:42.771393 UTC | AverageReturn             0
2018-03-01 13:23:42.771481 UTC | StdReturn                 0
2018-03-01 13:23:42.771561 UTC | MaxReturn                 0
2018-03-01 13:23:42.771638 UTC | MinReturn                 0
2018-03-01 13:23:42.771716 UTC | AverageEsReturn           0
2018-03-01 13:23:42.771796 UTC | StdEsReturn               0
2018-03-01 13:23:42.771887 UTC | MaxEsReturn               0
2018-03-01 13:23:42.771975 UTC | MinEsReturn               0
2018-03-01 13:23:42.772055 UTC | AverageDiscountedReturn   0
2018-03-01 13:23:42.772133 UTC | AverageQLoss              1.82449e-07
2018-03-01 13:23:42.772213 UTC | AveragePolicySurr         0.0394951
2018-03-01 13:23:42.772296 UTC | AverageQ                 -0.0395042
2018-03-01 13:23:42.772377 UTC | AverageAbsQ               0.0395042
2018-03-01 13:23:42.772455 UTC | AverageY                 -0.0395046
2018-03-01 13:23:42.772533 UTC | AverageAbsY               0.0395046
2018-03-01 13:23:42.772611 UTC | AverageAbsQYDiff          0.000191015
2018-03-01 13:23:42.772687 UTC | AverageAction             0.999865
2018-03-01 13:23:42.772764 UTC | PolicyRegParamNorm       26.4619
2018-03-01 13:23:42.772846 UTC | QFunRegParamNorm          7.96208
2018-03-01 13:23:42.772948 UTC | AverageForwardProgress    0
2018-03-01 13:23:42.773026 UTC | MaxForwardProgress        0
2018-03-01 13:23:42.773137 UTC | MinForwardProgress        0
2018-03-01 13:23:42.773235 UTC | StdForwardProgress        0
2018-03-01 13:23:42.773324 UTC | -----------------------  ------------
2018-03-01 13:23:42.773629 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #16 | Training started
2018-03-01 13:24:19.814511 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #16 | Training finished
2018-03-01 13:24:19.814710 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #16 | Collecting samples for evaluation
2018-03-01 13:24:21.732541 UTC | -----------------------  ------------
2018-03-01 13:24:21.732813 UTC | Epoch                    16
2018-03-01 13:24:21.732935 UTC | AverageReturn             0
2018-03-01 13:24:21.733027 UTC | StdReturn                 0
2018-03-01 13:24:21.733148 UTC | MaxReturn                 0
2018-03-01 13:24:21.733236 UTC | MinReturn                 0
2018-03-01 13:24:21.733318 UTC | AverageEsReturn           0
2018-03-01 13:24:21.733395 UTC | StdEsReturn               0
2018-03-01 13:24:21.733471 UTC | MaxEsReturn               0
2018-03-01 13:24:21.733544 UTC | MinEsReturn               0
2018-03-01 13:24:21.733623 UTC | AverageDiscountedReturn   0
2018-03-01 13:24:21.733701 UTC | AverageQLoss              1.33596e-07
2018-03-01 13:24:21.733782 UTC | AveragePolicySurr         0.0401714
2018-03-01 13:24:21.733860 UTC | AverageQ                 -0.040179
2018-03-01 13:24:21.733969 UTC | AverageAbsQ               0.040179
2018-03-01 13:24:21.734048 UTC | AverageY                 -0.0401795
2018-03-01 13:24:21.734127 UTC | AverageAbsY               0.0401795
2018-03-01 13:24:21.734205 UTC | AverageAbsQYDiff          0.000153632
2018-03-01 13:24:21.734283 UTC | AverageAction             0.999894
2018-03-01 13:24:21.734364 UTC | PolicyRegParamNorm       26.462
2018-03-01 13:24:21.734444 UTC | QFunRegParamNorm          7.95701
2018-03-01 13:24:21.734522 UTC | AverageForwardProgress    0
2018-03-01 13:24:21.734616 UTC | MaxForwardProgress        0
2018-03-01 13:24:21.734705 UTC | MinForwardProgress        0
2018-03-01 13:24:21.734798 UTC | StdForwardProgress        0
2018-03-01 13:24:21.734910 UTC | -----------------------  ------------
2018-03-01 13:24:21.735219 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #17 | Training started
2018-03-01 13:24:58.864274 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #17 | Training finished
2018-03-01 13:24:58.864493 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #17 | Collecting samples for evaluation
2018-03-01 13:25:00.780856 UTC | -----------------------  ------------
2018-03-01 13:25:00.781149 UTC | Epoch                    17
2018-03-01 13:25:00.781257 UTC | AverageReturn             0
2018-03-01 13:25:00.781347 UTC | StdReturn                 0
2018-03-01 13:25:00.781458 UTC | MaxReturn                 0
2018-03-01 13:25:00.781543 UTC | MinReturn                 0
2018-03-01 13:25:00.781624 UTC | AverageEsReturn           0
2018-03-01 13:25:00.781708 UTC | StdEsReturn               0
2018-03-01 13:25:00.781799 UTC | MaxEsReturn               0
2018-03-01 13:25:00.781919 UTC | MinEsReturn               0
2018-03-01 13:25:00.782002 UTC | AverageDiscountedReturn   0
2018-03-01 13:25:00.782090 UTC | AverageQLoss              1.04787e-07
2018-03-01 13:25:00.782178 UTC | AveragePolicySurr         0.0408405
2018-03-01 13:25:00.782265 UTC | AverageQ                 -0.0408505
2018-03-01 13:25:00.782340 UTC | AverageAbsQ               0.0408505
2018-03-01 13:25:00.782445 UTC | AverageY                 -0.0408507
2018-03-01 13:25:00.782521 UTC | AverageAbsY               0.0408507
2018-03-01 13:25:00.782592 UTC | AverageAbsQYDiff          0.000167584
2018-03-01 13:25:00.782668 UTC | AverageAction             0.999817
2018-03-01 13:25:00.782745 UTC | PolicyRegParamNorm       26.4466
2018-03-01 13:25:00.782827 UTC | QFunRegParamNorm          7.95297
2018-03-01 13:25:00.782914 UTC | AverageForwardProgress    0
2018-03-01 13:25:00.782995 UTC | MaxForwardProgress        0
2018-03-01 13:25:00.783076 UTC | MinForwardProgress        0
2018-03-01 13:25:00.783163 UTC | StdForwardProgress        0
2018-03-01 13:25:00.783249 UTC | -----------------------  ------------
2018-03-01 13:25:00.783555 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #18 | Training started
2018-03-01 13:25:37.953770 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #18 | Training finished
2018-03-01 13:25:37.953977 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #18 | Collecting samples for evaluation
2018-03-01 13:25:39.873339 UTC | -----------------------  ------------
2018-03-01 13:25:39.873628 UTC | Epoch                    18
2018-03-01 13:25:39.873731 UTC | AverageReturn             0
2018-03-01 13:25:39.873819 UTC | StdReturn                 0
2018-03-01 13:25:39.873901 UTC | MaxReturn                 0
2018-03-01 13:25:39.873976 UTC | MinReturn                 0
2018-03-01 13:25:39.874052 UTC | AverageEsReturn           0
2018-03-01 13:25:39.874135 UTC | StdEsReturn               0
2018-03-01 13:25:39.874210 UTC | MaxEsReturn               0
2018-03-01 13:25:39.874283 UTC | MinEsReturn               0
2018-03-01 13:25:39.874374 UTC | AverageDiscountedReturn   0
2018-03-01 13:25:39.874470 UTC | AverageQLoss              7.51879e-08
2018-03-01 13:25:39.874548 UTC | AveragePolicySurr         0.041294
2018-03-01 13:25:39.874631 UTC | AverageQ                 -0.0412966
2018-03-01 13:25:39.874711 UTC | AverageAbsQ               0.0412966
2018-03-01 13:25:39.874822 UTC | AverageY                 -0.0412974
2018-03-01 13:25:39.874903 UTC | AverageAbsY               0.0412974
2018-03-01 13:25:39.874982 UTC | AverageAbsQYDiff          0.000112919
2018-03-01 13:25:39.875062 UTC | AverageAction             0.999669
2018-03-01 13:25:39.875147 UTC | PolicyRegParamNorm       26.4447
2018-03-01 13:25:39.875237 UTC | QFunRegParamNorm          7.95002
2018-03-01 13:25:39.875324 UTC | AverageForwardProgress    0
2018-03-01 13:25:39.875433 UTC | MaxForwardProgress        0
2018-03-01 13:25:39.875524 UTC | MinForwardProgress        0
2018-03-01 13:25:39.875605 UTC | StdForwardProgress        0
2018-03-01 13:25:39.875683 UTC | -----------------------  ------------
2018-03-01 13:25:39.875975 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #19 | Training started
2018-03-01 13:26:17.005702 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #19 | Training finished
2018-03-01 13:26:17.005902 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #19 | Collecting samples for evaluation
2018-03-01 13:26:18.948472 UTC | -----------------------  ------------
2018-03-01 13:26:18.948758 UTC | Epoch                    19
2018-03-01 13:26:18.948861 UTC | AverageReturn             0
2018-03-01 13:26:18.948945 UTC | StdReturn                 0
2018-03-01 13:26:18.949029 UTC | MaxReturn                 0
2018-03-01 13:26:18.949142 UTC | MinReturn                 0
2018-03-01 13:26:18.949223 UTC | AverageEsReturn           0
2018-03-01 13:26:18.949297 UTC | StdEsReturn               0
2018-03-01 13:26:18.949394 UTC | MaxEsReturn               0
2018-03-01 13:26:18.949484 UTC | MinEsReturn               0
2018-03-01 13:26:18.949564 UTC | AverageDiscountedReturn   0
2018-03-01 13:26:18.949647 UTC | AverageQLoss              6.40878e-08
2018-03-01 13:26:18.949737 UTC | AveragePolicySurr         0.0413655
2018-03-01 13:26:18.949815 UTC | AverageQ                 -0.0413726
2018-03-01 13:26:18.949890 UTC | AverageAbsQ               0.0413726
2018-03-01 13:26:18.949968 UTC | AverageY                 -0.0413731
2018-03-01 13:26:18.950043 UTC | AverageAbsY               0.0413731
2018-03-01 13:26:18.950121 UTC | AverageAbsQYDiff          0.000144574
2018-03-01 13:26:18.950198 UTC | AverageAction             0.99983
2018-03-01 13:26:18.950287 UTC | PolicyRegParamNorm       26.4468
2018-03-01 13:26:18.950395 UTC | QFunRegParamNorm          7.94798
2018-03-01 13:26:18.950490 UTC | AverageForwardProgress    0
2018-03-01 13:26:18.950571 UTC | MaxForwardProgress        0
2018-03-01 13:26:18.950650 UTC | MinForwardProgress        0
2018-03-01 13:26:18.950728 UTC | StdForwardProgress        0
2018-03-01 13:26:18.950809 UTC | -----------------------  ------------
2018-03-01 13:26:18.951117 UTC | [experiment_2018_03_01_13_19_44_0001] epoch #20 | Training started
